id,store_code,substore_code,sap_store_code,sappayer_store_code,sales_base_code,sales_base_name,pref_code,sales_code,sales_name,intreatment_code,chain_code,chain_name,conflict_code,trading_halts_date,conflict_cl_type,conflict_care_type,shipment_dp_cl,shipment_dp_care,store_name_kanji,store_name_ryaku,store_name_kana,payer_name,postal_code,addr01,addr02,addr03,tel,fax,partner_store_id,deliverynote_no,create_date,discriminator_type,sap_create_date,sap_update_date,update_date,_BATCH_ID_,_BATCH_LAST_RUN_,JJ物販,JJ定期便,クーパー,アルコン,ボシュロム
17,286,0,286,0000000286,25,東海営業２課,23,5357,塩田　優馬,0,,,1,,1,1,71,78,大橋コンタクトレンズ,大橋コンタクトレンズ,ｵｵﾊｼｺﾝﾀｸﾄﾚﾝｽﾞ,大橋コンタクトレンズ,4640095,名古屋市千種区天満通り,１－３７－２,．　＊５６,052-711-1065,052-711-7947,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,True,False,True,False,False
18,324,0,324,0000000324,25,東海営業２課,23,5357,塩田　優馬,0,,,1,,1,1,71,78,大明,大明,ﾀﾞｲﾒｲ,大明,4650024,名古屋市名東区本郷町２－８３,,本郷眼科医院内　＊５６,052-771-9136,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
19,357,0,357,0000320332,22,東海営業１課,23,6299,萩原　まりあ,0,249,ｺﾝﾀｸﾄﾉｱｲﾗﾝﾄﾞ,2,,1,1,71,78,コンタクトのアイランド金山店,アイランド金山,ｺﾝﾀｸﾄﾉｱｲﾗﾝﾄﾞｶﾅﾔﾏﾃﾝ,アポクリート株式会社,4600022,名古屋市中区金山１丁目１４－９,長谷川ビル４Ｆ,,052-321-7730,052-321-6100,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
20,438,0,438,0000000438,22,東海営業１課,23,6299,萩原　まりあ,0,255,ｱｲｼﾃｨ,2,,0,0,71,78,アイシテイ名古屋店,アイシテイ名古屋店,ｱｲｼﾃｲ ﾅｺﾞﾔ,アイシテイ名古屋店,4500002,愛知県名古屋市中村区名駅４－２７－１,名古屋モード学園スパイラルタワーズ,Ｂ１Ｆ,052-586-2745,052-586-2746,0501,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-05-11 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,True,False,True,True,True
21,479,0,479,0000000479,22,東海営業１課,23,6299,萩原　まりあ,0,,,2,,1,1,71,78,尾上クリニック　コンタクト,尾上クリニック,ｵﾉｳｴｸﾘﾆｯｸ ｺﾝﾀｸﾄ,尾上クリニック　コンタクト,4620808,名古屋市北区上飯田１－１１,野沢ビル２階,,052-915-5510,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
22,487,0,487,0000000487,22,東海営業１課,23,6299,萩原　まりあ,0,,,2,,1,1,71,78,医療法人　大医研　橋川クリニック,橋川眼科,ﾊｼｶﾜ ｶﾞﾝｶ,医療法人　大医研　橋川クリニック,4510062,名古屋市西区花の木３－１６－１７,,．　＊５７,052-531-0510,052-531-0511,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
23,582,0,582,0000000582,22,東海営業１課,23,6090,橋本　祐,0,170,ｼｮｳｹﾞﾂﾄﾞｳ,2,,1,1,71,78,賞月堂　一宮店,賞月堂　一宮店,ｼｮｳｹﾞﾂﾄﾞｳ ｲﾁﾉﾐﾔﾃﾝ,賞月堂　一宮店,4910858,愛知県一宮市栄４－６－２８,,．　＊６０,0586-71-5103,0586-71-6717,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,True,True,True,True,True
24,639,0,639,0000000639,22,東海営業１課,23,2740,宇津野　博,0,,,2,,1,1,71,78,新生コンタクトレンズ,新生コンタクトレンズ,ｼﾝｾｲｺﾝﾀｸﾄﾚﾝｽﾞ,新生コンタクトレンズ,4910912,愛知県一宮市新生２－４－１５,水上眼科内,．　＊６０,0586-45-6746,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,True,True,False
25,662,0,662,0000000662,22,東海営業１課,23,5785,志波　竜司,0,,,2,,1,1,71,78,＃犬山駅西病院　眼科外来,＃犬山駅西病院　眼科,ｲﾇﾔﾏｴｷﾆｼﾋﾞｮｳｲﾝ ｶﾞﾝｶｶﾞｲﾗｲ,＃犬山駅西病院　眼科外来,4840081,愛知県犬山市大字犬山字高見町１１,,,0568-61-2017,0568-62-6227,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
26,696,0,696,0000000696,22,東海営業１課,23,5785,志波　竜司,0,,,2,,0,1,71,78,メガネのかざりや,メガネのかざりや,ﾒｶﾞﾈ ﾉ ｶｻﾞﾘﾔ,メガネのかざりや,4890814,愛知県瀬戸市末広町宮前大通,,．　＊５６,0561-21-3765,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
27,696,1,700029,0000000696,22,東海営業１課,23,5785,志波　竜司,0,,,2,,0,1,71,78,メガネのかざりやユニ－店,メガネのかざりやユニ,ﾒｶﾞﾈﾉｶｻﾞﾘﾔ ﾕﾆ-ﾃﾝ,メガネのかざりや,4890818,瀬戸市幸町３３,ニュ－瀬戸ショッピングセンター,,,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,True,False,False,False,False
28,696,2,700030,0000000696,22,東海営業１課,23,5785,志波　竜司,0,,,2,,0,1,71,78,メガネのかざりや　守山店,メガネのかざりや　守,ﾒｶﾞﾈﾉｶｻﾞﾘﾔ ﾓﾘﾔﾏﾃﾝ,メガネのかざりや,4630011,名古屋市守山区大字小幡字中新田,２０－１,第２大島ビル内,,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
29,701,0,701,0000000701,22,東海営業１課,23,2740,宇津野　博,0,,,2,,1,1,71,78,江南コンタクトレンズセンター,江南コンタクトレンズ,ｺｳﾅﾝ ｺﾝﾀｸﾄﾚﾝｽﾞ ｾﾝﾀ-,江南コンタクトレンズセンター,4838279,愛知県江南市古知野町宮裏１９７,,,0587-56-2071,0587-52-1338,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,True,True,True,True,True
30,701,1,700031,0000000701,22,東海営業１課,23,2740,宇津野　博,0,,,2,,1,1,71,78,メガネの酒井本店,メガネの酒井本店,ﾒｶﾞﾈﾉｻｶｲ ﾎﾝﾃﾝ,江南コンタクトレンズセンター,4838274,江南市大字古知野町広見１０,,,0587-56-2847,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
31,701,2,700032,0000000701,22,東海営業１課,23,2740,宇津野　博,0,,,2,,1,1,71,78,メガネの酒井岩倉店,メガネの酒井岩倉店,ﾒｶﾞﾈﾉｻｶｲ ｲﾜｸﾗﾃﾝ,江南コンタクトレンズセンター,4820046,岩倉市栄１丁目,（駅西中円医療センタ－内）,,,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
32,701,3,700033,0000000701,22,東海営業１課,23,2740,宇津野　博,0,,,2,,1,1,71,78,メガネの酒井　アピタ店,メガネの酒井　アピタ,ﾒｶﾞﾈﾉｻｶｲ ｱﾋﾟﾀﾃﾝ,江南コンタクトレンズセンター,4838314,江南市村久野字金森１７７,ビア・アピタ内,,,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
33,701,4,700034,0000000701,22,東海営業１課,23,2740,宇津野　博,0,,,2,,1,1,71,78,メガネの酒井　ユニー店,メガネの酒井　ユニー,ﾒｶﾞﾈﾉｻｶｲ ﾕﾆ-ﾃﾝ,江南コンタクトレンズセンター,4838271,愛知県江南市古知野町桃源,ユニーシヨツピングセンター　３Ｆ,,,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
34,701,5,700035,0000000701,22,東海営業１課,23,2740,宇津野　博,0,,,2,,1,1,71,78,メガネの酒井　ヨシヅヤ店,メガネの酒井　ヨシヅ,ﾒｶﾞﾈﾉｻｶｲ ﾖｼﾂﾞﾔﾃﾝ,江南コンタクトレンズセンター,4800139,愛知県丹羽郡大口町奈良子２－７９,ヨシヅヤ大口店２Ｆ,,,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
35,727,0,727,0000000727,22,東海営業１課,23,2740,宇津野　博,0,,,2,,0,1,71,78,メガネの酒井,メガネの酒井,ﾒｶﾞﾈ ﾉ ｻｶｲ,メガネの酒井,4838274,愛知県江南市大字古知野広見１０,,．　＊５９,0587-56-2847,0587-54-9627,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
36,727,1,700036,0000000727,22,東海営業１課,23,2740,宇津野　博,0,,,2,,0,1,71,78,メガネの酒井　江南店,メガネの酒井　江南店,ﾒｶﾞﾈﾉｻｶｲ ｺｳﾅﾝﾃﾝ,メガネの酒井,4838314,愛知県江南市村久野字金森１７７,,ビアアピタ江南,,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
37,727,2,700037,0000000727,22,東海営業１課,23,2740,宇津野　博,0,,,2,,0,1,71,78,メガネの酒井　ユニー店,メガネの酒井ユニー店,ﾒｶﾞﾈﾉｻｶｲ ﾕﾆｰﾃﾝ,メガネの酒井,4838271,愛知県江南市古知野桃源,ユニーショッピングセンター　３階,,0587-56-1775,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
38,727,3,700038,0000000727,22,東海営業１課,23,2740,宇津野　博,0,,,2,,0,1,71,78,メガネの酒井　ヨシヅヤ店,メガネの酒井ヨシヅヤ,ﾒｶﾞﾈﾉｻｶｲ ﾖｼﾂﾞﾔﾃﾝ,メガネの酒井,4800100,愛知県丹羽郡大口町茶子２－７９,,,0587-95-7516,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
39,735,0,735,0000000735,22,東海営業１課,23,6299,萩原　まりあ,0,,,2,,1,1,71,78,有限会社　ティーエムエス,有限会社　ＴＭＳ,ﾕｳｹﾞﾝｶﾞｲｼｬ ﾃｲｴﾑｴｽ,有限会社　ティーエムエス,4928145,愛知県稲沢市正明寺町１－８－１８,,．　＊５８,0587-32-0686,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,True,True,True,False,False
40,743,0,743,0000000743,25,東海第２営業チーム,23,5336,吉岡　優花,0,,,1,,0,0,71,78,豊明コンタクトレンズ,豊明コンタクトレンズ,ﾄﾖｱｹ ｺﾝﾀｸﾄﾚﾝｽﾞ,豊明コンタクトレンズ,4701151,愛知県豊明市前後町善江１７３７,パルネス２号館１階,．　＊５２,0562-98-1199,0562-97-5463,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2022-04-04 00:00:00,2022-07-10 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
41,814,0,814,0000000814,22,東海営業１課,23,4562,山本　祐輔,0,,,2,,1,1,71,78,大府　コンタクトレンズ,大府　コンタクトレン,ｵｵﾌﾞ ｺﾝﾀｸﾄﾚﾝｽﾞ,大府　コンタクトレンズ,4740025,愛知県大府市中央町３丁目６７番地,,．　＊５２,0562-47-7364,0562-48-6441,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,True,True,False
42,822,0,822,0000000822,22,東海営業１課,23,2740,宇津野　博,0,,,2,,1,1,71,78,一宮コンタクトレンズ,一宮コンタクトレンズ,ｲﾁﾉﾐﾔ ｺﾝﾀｸﾄﾚﾝｽﾞ,一宮コンタクトレンズ,4910859,愛知県一宮市本町１－３－９,,高橋眼科内　＊６０,0586-71-5181,0586-71-5288,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,True,False,True,False,True
43,848,0,848,0000000848,22,東海営業１課,23,5785,志波　竜司,0,,,1,,1,1,71,78,小口コンタクトレンズ,小口コンタクトレンズ,ｵｸﾞﾁ ｺﾝﾀｸﾄﾚﾝｽﾞ,小口コンタクトレンズ,4890986,愛知県瀬戸市南山町１－４３,,小口眼科ビル内　＊５６,0561-84-3422,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,True,True,True
44,951,0,951,0000000951,25,東海営業２課,23,5357,塩田　優馬,0,,,2,,1,1,71,78,安城コンタクトレンズ,安城コンタクトレンズ,ｱﾝｼﾞﾖｳ ｺﾝﾀｸﾄﾚﾝｽﾞ,安城コンタクトレンズ,4460031,愛知県安城市朝日町２－１１,,平野眼科内　＊５２０,0566-74-0570,0566-77-5484,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
45,977,0,977,0000000977,25,東海営業２課,23,5357,塩田　優馬,0,,,2,,1,1,71,78,マイコンタクト,マイコンタクト,ﾏｲｺﾝﾀｸﾄ,マイコンタクト,4430054,愛知県蒲郡市府相町一丁目１３１番地,,,0533-68-4473,0533-68-6800,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,True,False,True,True,True
46,985,0,985,0000000985,25,東海営業２課,23,6071,藤　駿太,0,,,1,,1,1,71,78,スギウラメガネ,スギウラメガネ,ｽｷﾞｳﾗﾒｶﾞﾈ,スギウラメガネ,4440045,愛知県岡崎市康生通東２－１５,,．　＊５１,0564-21-1072,,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
47,1011,0,1011,0000001011,25,東海営業２課,23,6071,藤　駿太,0,5,ｷｸﾁﾒｶﾞﾈ,2,,0,1,71,78,（００８）キクチメガネ豊橋名豊店,キクチメガネ豊橋名豊,ｷｸﾁﾒｶﾞﾈﾄﾖﾊｼﾒｲﾎｳﾃﾝ,（００８）キクチメガネ豊橋名豊店,4400888,愛知県豊橋市駅前大通り,名豊ビル４Ｆ,．　＊５０,0532-53-5040,,008,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,False,False
48,1029,0,1029,0000001029,25,東海営業２課,23,6071,藤　駿太,0,,,2,,1,1,71,78,桐渕コンタクトレンズセンター,桐渕コンタクトレンズ,ｷﾘﾌﾞﾁ ｺﾝﾀｸﾄﾚﾝｽﾞ ｾﾝﾀ-,桐渕コンタクトレンズセンター,4440043,愛知県岡崎市唐沢町１－３０,,．　＊５１,0564-22-1291,0564-22-0151,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-01 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,False,False,False,True,True
49,1045,0,1045,0000001045,25,中部営業２課,23,4783,冨永　翔太,0,,,2,,0,0,71,78,鈴木コンタクトレンズ研究所,鈴木コンタクトレンズ,ｽｽﾞｷ ｺﾝﾀｸﾄﾚﾝｽﾞ ｹﾝｷﾕｳｼﾖ,鈴木コンタクトレンズ研究所,4400058,愛知県豊橋市旭本町７１－１,,．　＊５０,0532-55-0911,0532-55-0912,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2017-04-05 00:00:00,2021-02-14 22:30:03,1409.0,2026-05-26 05:10:04,False,False,False,False,False
50,1052,0,1052,0000001052,25,東海営業２課,23,5357,塩田　優馬,0,,,1,,1,1,71,78,蒲郡コンタクトレンズ研究所,蒲郡コンタクトレンズ,ｶﾞﾏｺﾞｳﾘ ｺﾝﾀｸﾄﾚﾝｽﾞｹﾝｷﾕｳｼﾖ,蒲郡コンタクトレンズ研究所,4430021,愛知県蒲郡市三谷町東５－１２９,,．　＊５０,0533-68-2401,0533-68-3906,,0,2020-11-25 15:34:33,storemaster,2011-06-06 00:00:00,2026-04-02 00:00:00,2026-05-25 22:30:01,1409.0,2026-05-26 05:10:04,True,False,True,False,False
